id	city_id	country_id	name
24	0	24	Россия
25	25	24	Россия,Москва
1734	25	24	Россия,Москва,г. Зеленоград
3256	25	24	Россия,Москва,Восточный АО
1503	25	24	Россия,Москва,Восточный АО,ст. Авиамоторная
1507	25	24	Россия,Москва,Восточный АО,ст. Выхино
1435	25	24	Россия,Москва,Восточный АО,ст. Измайловская
1434	25	24	Россия,Москва,Восточный АО,ст. Измайловский парк
1506	25	24	Россия,Москва,Восточный АО,ст. Новогиреево
1436	25	24	Россия,Москва,Восточный АО,ст. Первомайская
1505	25	24	Россия,Москва,Восточный АО,ст. Перово
1324	25	24	Россия,Москва,Восточный АО,ст. Преображенская площадь
1433	25	24	Россия,Москва,Восточный АО,ст. Семеновская
1325	25	24	Россия,Москва,Восточный АО,ст. Сокольники
534	25	24	Россия,Москва,Восточный АО,ст. Улица Подбельского
1323	25	24	Россия,Москва,Восточный АО,ст. Черкизовская
1504	25	24	Россия,Москва,Восточный АО,ст. Шоссе Энтузиастов
1437	25	24	Россия,Москва,Восточный АО,ст. Щелковская
1432	25	24	Россия,Москва,Восточный АО,ст. Электрозаводская
3260	25	24	Россия,Москва,Западный АО
1422	25	24	Россия,Москва,Западный АО,ст. Багратионовская
1616	25	24	Россия,Москва,Западный АО,ст. Киевская
1418	25	24	Россия,Москва,Западный АО,ст. Крылатское
1420	25	24	Россия,Москва,Западный АО,ст. Кунцевская
1425	25	24	Россия,Москва,Западный АО,ст. Кутузовская
1419	25	24	Россия,Москва,Западный АО,ст. Молодежная
3187	25	24	Россия,Москва,Западный АО,ст. Парк Победы
1421	25	24	Россия,Москва,Западный АО,ст. Пионерская
1336	25	24	Россия,Москва,Западный АО,ст. Проспект Вернадского
1426	25	24	Россия,Москва,Западный АО,ст. Студенческая
1423	25	24	Россия,Москва,Западный АО,ст. Филевский парк
1424	25	24	Россия,Москва,Западный АО,ст. Фили
1337	25	24	Россия,Москва,Западный АО,ст. Юго-Западная
3254	25	24	Россия,Москва,Северный АО
1517	25	24	Россия,Москва,Северный АО,ст. Беговая
1614	25	24	Россия,Москва,Северный АО,ст. Белорусская
1609	25	24	Россия,Москва,Северный АО,ст. Аэропорт
1612	25	24	Россия,Москва,Северный АО,ст. Водный стадион
1611	25	24	Россия,Москва,Северный АО,ст. Войковская
1608	25	24	Россия,Москва,Северный АО,ст. Динамо
1282	25	24	Россия,Москва,Северный АО,ст. Дмитровская
1280	25	24	Россия,Москва,Северный АО,ст. Петровско-Разумовская
1518	25	24	Россия,Москва,Северный АО,ст. Полежаевская
1613	25	24	Россия,Москва,Северный АО,ст. Речной вокзал
1283	25	24	Россия,Москва,Северный АО,ст. Савеловская
1610	25	24	Россия,Москва,Северный АО,ст. Сокол
1281	25	24	Россия,Москва,Северный АО,ст. Тимирязевская
3255	25	24	Россия,Москва,Северо-восточный АО
1316	25	24	Россия,Москва,Северо-восточный АО,ст. Рижская
1276	25	24	Россия,Москва,Северо-восточный АО,ст.  Алтуфьево
1317	25	24	Россия,Москва,Северо-восточный АО,ст. Алексеевская
1321	25	24	Россия,Москва,Северо-восточный АО,ст. Бабушкинская
1277	25	24	Россия,Москва,Северо-восточный АО,ст. Бибирево
1319	25	24	Россия,Москва,Северо-восточный АО,ст. Ботанический сад
1318	25	24	Россия,Москва,Северо-восточный АО,ст. ВДНХ
1279	25	24	Россия,Москва,Северо-восточный АО,ст. Владыкино
1322	25	24	Россия,Москва,Северо-восточный АО,ст. Медведково
1278	25	24	Россия,Москва,Северо-восточный АО,ст. Отрадное
1320	25	24	Россия,Москва,Северо-восточный АО,ст. Свиблово
3261	25	24	Россия,Москва,Северо-западный АО
1519	25	24	Россия,Москва,Северо-западный АО,ст. Октябрьское поле
1523	25	24	Россия,Москва,Северо-западный АО,ст. Планерная
1522	25	24	Россия,Москва,Северо-западный АО,ст. Сходненская
1521	25	24	Россия,Москва,Северо-западный АО,ст. Тушинская
1520	25	24	Россия,Москва,Северо-западный АО,ст. Щукинская
3251	25	24	Россия,Москва,Центральный АО
1429	25	24	Россия,Москва,Центральный АО,ст. Александровский сад
1428	25	24	Россия,Москва,Центральный АО,ст. Арбатская
1515	25	24	Россия,Москва,Центральный АО,ст. Баррикадная
1431	25	24	Россия,Москва,Центральный АО,ст. Бауманская
1331	25	24	Россия,Москва,Центральный АО,ст. Библиотека им. Ленина
1287	25	24	Россия,Москва,Центральный АО,ст. Боровицкая
1618	25	24	Россия,Москва,Центральный АО,ст. Добрынинская
